INFO:db_updater:Обновление начинается 
INFO:db_updater:Установка соединения с удаленным сервером
INFO:paramiko.transport:Connected (version 2.0, client OpenSSH_6.0p1)
INFO:paramiko.transport:Authentication (publickey) successful!
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2941.html' 0/15255
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2941.html' 15255/15255
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3812.html' 0/6356
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3812.html' 6356/6356
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2849.html' 0/7768
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2849.html' 7768/7768
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8505.html' 0/10500
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8505.html' 10500/10500
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8502.html' 0/5428
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8502.html' 5428/5428
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3808.html' 0/24414
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3808.html' 24414/24414
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0712.html' 0/3901
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0712.html' 3901/3901
INFO:db_updater:=> b'documents/prim_tnved_2018/17_8702.html' 0/4449
INFO:db_updater:=> b'documents/prim_tnved_2018/17_8702.html' 4449/4449
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9608.html' 0/6692
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9608.html' 6692/6692
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9022.html' 0/23960
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9022.html' 23960/23960
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9017.html' 0/14329
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9017.html' 14329/14329
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9604.html' 0/3469
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9604.html' 3469/3469
INFO:db_updater:=> b'documents/prim_tnved_2018/7_4009.html' 0/3778
INFO:db_updater:=> b'documents/prim_tnved_2018/7_4009.html' 3778/3778
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3806.html' 0/15024
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3806.html' 15024/15024
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8450.html' 0/5061
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8450.html' 5061/5061
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9025.html' 0/27265
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9025.html' 27265/27265
INFO:db_updater:=> b'documents/prim_tnved_2018/7.html' 0/4905
INFO:db_updater:=> b'documents/prim_tnved_2018/7.html' 4905/4905
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9201.html' 0/2362
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9201.html' 2362/2362
INFO:db_updater:=> b'documents/prim_tnved_2018/15_8215.html' 0/4246
INFO:db_updater:=> b'documents/prim_tnved_2018/15_8215.html' 4246/4246
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8449.html' 0/10880
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8449.html' 10880/10880
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9033.html' 0/4813
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9033.html' 4813/4813
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0504.html' 0/3142
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0504.html' 3142/3142
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6307.html' 0/16257
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6307.html' 16257/16257
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6914.html' 0/13316
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6914.html' 13316/13316
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2203.html' 0/3068
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2203.html' 3068/3068
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7403.html' 0/6474
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7403.html' 6474/6474
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1508.html' 0/1528
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1508.html' 1528/1528
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7309.html' 0/4397
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7309.html' 4397/4397
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7207.html' 0/9988
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7207.html' 9988/9988
INFO:db_updater:=> b'documents/prim_tnved_2018/14_7103.html' 0/29749
INFO:db_updater:=> b'documents/prim_tnved_2018/14_7103.html' 29749/29749
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0201.html' 0/5588
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0201.html' 5588/5588
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2837.html' 0/14871
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2837.html' 14871/14871
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2818.html' 0/15935
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2818.html' 15935/15935
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8542.html' 0/44286
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8542.html' 44286/44286
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1603.html' 0/4360
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1603.html' 4360/4360
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0404.html' 0/5825
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0404.html' 5825/5825
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1803.html' 0/2132
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1803.html' 2132/2132
INFO:db_updater:=> b'documents/prim_tnved_2018/10_4802.html' 0/9302
INFO:db_updater:=> b'documents/prim_tnved_2018/10_4802.html' 9302/9302
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1007.html' 0/2271
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1007.html' 2271/2271
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6117.html' 0/6271
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6117.html' 6271/6271
INFO:db_updater:=> b'documents/prim_tnved_2018/8_4102.html' 0/3709
INFO:db_updater:=> b'documents/prim_tnved_2018/8_4102.html' 3709/3709
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1005.html' 0/914
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1005.html' 914/914
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2508.html' 0/7372
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2508.html' 7372/7372
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2607.html' 0/591
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2607.html' 591/591
INFO:db_updater:=> b'documents/prim_tnved_2018/15_8305.html' 0/2072
INFO:db_updater:=> b'documents/prim_tnved_2018/15_8305.html' 2072/2072
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2525.html' 0/3259
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2525.html' 3259/3259
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0904.html' 0/5553
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0904.html' 5553/5553
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2809.html' 0/11280
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2809.html' 11280/11280
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9202.html' 0/3704
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9202.html' 3704/3704
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1520.html' 0/3001
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1520.html' 3001/3001
INFO:db_updater:=> b'documents/prim_tnved_2018/16_85.html' 0/35022
